Name,State,District,Signature Status
Mike Kelly,PA,16,Not Signed
Christopher R. Deluzio,PA,17,Not Signed
Brendan F. Boyle,PA,2,Not Signed
Dwight Evans,PA,3,Signed
Madeleine Dean,PA,4,Not Signed
Mary Gay Scanlon,PA,5,Signed
Chrissy Houlahan,PA,6,Signed
Ryan Mackenzie,PA,7,Not Signed
Robert P. Bresnahan,PA,8,Not Signed
Daniel Meuser,PA,9,Not Signed
Gabe Amo,RI,1,Not Signed
Seth Magaziner,RI,2,Not Signed
Nancy Mace,SC,1,Signed
Joe Wilson,SC,2,Not Signed
Sheri Biggs,SC,3,Not Signed
William R. Timmons,SC,4,Not Signed
Ralph Norman,SC,5,Not Signed
James E. Clyburn,SC,6,Not Signed
Russell Fry,SC,7,Not Signed
Dusty Johnson,SD,AL,Not Signed
Diana Harshbarger,TN,1,Not Signed
Tim Burchett,TN,2,Not Signed
"Charles J. ""Chuck"" Fleischmann",TN,3,Not Signed
Scott DesJarlais,TN,4,Not Signed
Andrew Ogles,TN,5,Not Signed
John W. Rose,TN,6,Not Signed
David Kustoff,TN,8,Not Signed
Steve Cohen,TN,9,Not Signed
Nathaniel Moran,TX,1,Not Signed
Michael T. McCaul,TX,10,Not Signed
August Pfluger,TX,11,Not Signed
Craig A. Goldman,TX,12,Not Signed
Ronny Jackson,TX,13,Not Signed
Randy K. Sr. Weber,TX,14,Not Signed
Monica De La Cruz,TX,15,Not Signed
Veronica Escobar,TX,16,Not Signed
Pete Sessions,TX,17,Not Signed
Jodey C. Arrington,TX,19,Not Signed
Dan Crenshaw,TX,2,Not Signed
Joaquin Castro,TX,20,Not Signed
Chip Roy,TX,21,Not Signed
Troy E. Nehls,TX,22,Not Signed
Tony Gonzales,TX,23,Not Signed
Beth Van Duyne,TX,24,Not Signed
Roger Williams,TX,25,Not Signed
Brandon Gill,TX,26,Not Signed
Michael Cloud,TX,27,Not Signed
Henry Cuellar,TX,28,Not Signed
Sylvia R. Garcia,TX,29,Not Signed
Keith Self,TX,3,Not Signed
Jasmine Crockett,TX,30,Not Signed
John R. Carter,TX,31,Not Signed
Julie Johnson,TX,32,Not Signed
Marc A. Veasey,TX,33,Not Signed
Vicente Gonzalez,TX,34,Not Signed
Greg Casar,TX,35,Not Signed
Brian Babin,TX,36,Not Signed
Lloyd Doggett,TX,37,Not Signed
Wesley Hunt,TX,38,Not Signed
Pat Fallon,TX,4,Not Signed
Lance Gooden,TX,5,Not Signed
Jake Ellzey,TX,6,Not Signed
Lizzie Fletcher,TX,7,Not Signed
Morgan Luttrell,TX,8,Not Signed
Al Green,TX,9,Not Signed
Blake D. Moore,UT,1,Not Signed
Celeste Maloy,UT,2,Not Signed
Mike Kennedy,UT,3,Not Signed
Burgess Owens,UT,4,Not Signed
Robert J. Wittman,VA,1,Not Signed
Suhas Subramanyam,VA,10,Not Signed
Jennifer A. Kiggans,VA,2,Not Signed
"Robert C. ""Bobby"" Scott",VA,3,Signed
Jennifer L. McClellan,VA,4,Not Signed
John J. McGuire,VA,5,Not Signed
Ben Cline,VA,6,Not Signed
Eugene Simon Vindman,VA,7,Not Signed
Donald S. Beyer,VA,8,Not Signed
H. Morgan Griffith,VA,9,Not Signed
Becca Balint,VT,AL,Signed
Suzan K. DelBene,WA,1,Not Signed
Marilyn Strickland,WA,10,Not Signed
Rick Larsen,WA,2,Not Signed
Marie Gluesenkamp Perez,WA,3,Not Signed
Dan Newhouse,WA,4,Not Signed
Michael Baumgartner,WA,5,Not Signed
Emily Randall,WA,6,Not Signed
Pramila Jayapal,WA,7,Not Signed
Kim Schrier,WA,8,Not Signed
Adam Smith,WA,9,Not Signed
Bryan Steil,WI,1,Not Signed
Mark Pocan,WI,2,Not Signed
Derrick Van Orden,WI,3,Not Signed
Gwen Moore,WI,4,Not Signed
Scott Fitzgerald,WI,5,Not Signed
Glenn Grothman,WI,6,Not Signed
Thomas P. Tiffany,WI,7,Not Signed
Tony Wied,WI,8,Not Signed
Carol D. Miller,WV,1,Not Signed
Riley M. Moore,WV,2,Not Signed
Harriet M. Hageman,WY,AL,Not Signed
